County/ in miles,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester
Allegany,0,154,136,136,181,195,117,185,171,224,88.6,50.3,160,115,207,108,149,188,274,212,197,64.4,237,264
Anne_Arundel,154,0,31.2,31.2,38.5,44.5,62.1,75.2,49,73.7,68.9,196,57.7,42.2,56.7,50.2,26.6,29.6,39.1,72.2,46.5,94.5,86.6,114
Baltimore,136,31.2,0,0,67,69.7,42.8,53.4,76.7,98.9,48.8,53.6,35.8,24.6,81.9,45.4,43.8,63.1,39.2,101,71.7,74.4,112,139
Baltimore_City,136,31.2,0,0,67,69.7,42.8,53.4,76.7,98.9,48.8,53.6,35.8,24.6,81.9,45.4,43.8,63.1,39.2,101,71.7,74.4,112,139
Calvert,181,38.5,67,67,0,82.3,98.7,112,38.2,112,96.5,222,94.3,80.8,94.6,75.6,39.2,75.8,64.5,36.7,84.3,120,125,152
Caroline,195,44.5,69.7,69.7,82.3,0,102,64.9,101,47.4,109,237,98,82.4,33.7,90.4,73.5,20.9,79.3,118,21.9,135,47.8,75
Carroll,117,62.1,42.8,42.8,98.7,102,0,83.2,97.1,131,29.9,157,46.3,22.4,114,32.3,69.2,87.2,50.2,133,104,55.5,144,171
Cecil,185,75.2,53.4,53.4,112,64.9,83.2,0,119,105,98.9,226,29.7,74.7,44.6,95.5,93.3,61.5,89.3,147,77.7,125,118,134
Charles,171,49,76.7,76.7,38.2,101,97.1,119,0,130,87.3,212,102,77.1,114,66.3,26.5,94.7,56.2,57.1,103,110,143,171
Dorchester,224,73.7,98.9,98.9,112,47.4,131,105,130,0,138,266,127,112,71.8,120,103,50.8,109,147,33.8,164,41.6,68.9
Frederick,88.6,68.9,48.8,48.8,96.5,109,29.9,98.9,87.3,138,0,129,74.3,28.8,121,24.3,64.9,93.6,39.8,128,110,26.8,151,178
Garrett,50.3,196,53.6,53.6,222,237,157,226,212,266,129,0,201,155,247,149,189,220,164,252,237,105,277,304
Harford,160,57.7,35.8,35.8,94.3,98,46.3,29.7,102,127,74.3,201,0,49.2,69.2,76.8,74.6,82.6,70.6,129,99.5,99,140,167
Howard,115,42.2,24.6,24.6,80.8,82.4,22.4,74.7,77.1,112,28.8,155,49.2,0,91.9,23,47,64.8,37.3,110,81.7,55.3,122,149
Kent,207,56.7,81.9,81.9,94.6,33.7,114,44.6,114,71.8,121,247,69.2,91.9,0,102,85.6,26.1,91.4,130,44.6,147,84.7,112
Montgomery,108,50.2,45.4,45.4,75.6,90.4,32.3,95.5,66.3,120,24.3,149,76.8,23,102,0,43.4,75.4,170,106,92.3,47.3,132,160
Prince_George's,149,26.6,43.8,43.8,39.2,73.5,69.2,93.3,26.5,103,64.9,189,74.6,47,85.6,43.4,0,57.8,32.2,63.3,74.7,87.3,15,142
Queen_Anne's,188,29.6,63.1,63.1,75.8,20.9,87.2,61.5,94.7,50.8,93.6,220,82.6,64.8,26.1,75.4,57.8,0,64.4,103,23.8,120,64.5,91.2
Somerset,274,39.1,39.2,39.2,64.5,79.3,50.2,89.3,56.2,109,39.8,164,70.6,37.3,91.4,170,32.2,64.4,0,95,81.3,62.3,121,149
St_Mary's,212,72.2,101,101,36.7,118,133,147,57.1,147,128,252,129,110,130,106,63.3,103,95,0,118,150,158,185
Talbot,197,46.5,71.7,71.7,84.3,21.9,104,77.7,103,33.8,110,237,99.5,81.7,44.6,92.3,74.7,23.8,81.3,118,0,136,46.7,73.9
Washington,64.4,94.5,74.4,74.4,120,135,55.5,125,110,164,26.8,105,99,55.3,147,47.3,87.3,120,62.3,150,136,0,176,203
Wicomico,237,86.6,112,112,125,47.8,144,118,143,41.6,151,277,140,122,84.7,132,15,64.5,121,158,46.7,176,0,30.1
Worcester,264,114,139,139,152,75,171,134,171,68.9,178,304,167,149,112,160,142,91.2,149,185,73.9,203,30.1,0
