Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2019/01/01,24,MD,24001,Allegany County,17216,53200,196315,42893,60377,24657,36318,20477,5535,3719,2007,150,182
County,2019/01/01,24,MD,24003,Anne Arundel County,123671,455563,1644494,447532,408855,188058,238024,233931,85240,20535,11661,2956,7702
County,2019/01/01,24,MD,24005,Baltimore County,187080,640290,2256269,602123,566340,265459,341881,330065,95351,31759,14159,3697,5435
County,2019/01/01,24,MD,24009,Calvert County,18585,73940,250090,50450,66986,25998,35766,37376,22935,7358,2059,559,603
County,2019/01/01,24,MD,24011,Caroline County,6857,26549,107137,26804,26123,13879,12257,17114,7054,3068,551,132,155
County,2019/01/01,24,MD,24013,Carroll County,31179,137268,475693,91316,134674,46003,64659,82681,41373,8606,3405,1333,1643
County,2019/01/01,24,MD,24015,Cecil County,20649,82206,297193,67396,74196,35690,44956,49218,15096,6853,2859,485,444
County,2019/01/01,24,MD,24017,Charles County,30826,132431,444037,96278,116772,48057,55157,74921,39977,7651,2828,1078,1318
County,2019/01/01,24,MD,24019,Dorchester County,6733,25196,106980,25814,29665,12750,10731,18014,6285,2838,682,122,79
County,2019/01/01,24,MD,24021,Frederick County,51935,207612,715530,173050,183476,83911,96838,91552,57102,22439,4476,1424,1262
County,2019/01/01,24,MD,24023,Garrett County,4844,24170,93157,15000,27453,12042,17037,13734,4876,1396,1476,61,82
County,2019/01/01,24,MD,24025,Harford County,49156,206285,740716,165368,198548,83946,118627,107155,46050,13512,4423,846,2241
County,2019/01/01,24,MD,24027,Howard County,66978,258712,879644,216394,218739,107757,135267,138753,44069,9225,4459,954,4027
County,2019/01/01,24,MD,24029,Kent County,4190,15232,48958,11152,10981,5944,5725,8919,4411,1263,480,19,64
County,2019/01/01,24,MD,24031,Montgomery County,254135,796553,2963695,876108,759134,343386,413903,380633,139917,22085,17068,4159,7302
County,2019/01/01,24,MD,24033,Prince George's County,206554,702773,2922357,891510,745374,320182,427484,407022,96564,18341,9627,2631,3622
County,2019/01/01,24,MD,24035,Queen Anne's County,8739,41642,151893,32164,38438,18773,18043,25978,11807,4903,861,419,507
County,2019/01/01,24,MD,24037,St. Mary's County,20163,93347,345221,72654,99443,38855,54461,54957,15264,5700,2073,679,1135
County,2019/01/01,24,MD,24039,Somerset County,5295,20321,81297,14724,22069,8505,12778,15518,5049,1932,594,69,59
County,2019/01/01,24,MD,24041,Talbot County,8147,29034,102759,21400,31802,12232,12874,15512,5075,3021,433,177,233
County,2019/01/01,24,MD,24043,Washington County,33341,117708,443604,103702,115604,59118,71035,53537,22380,13332,3496,725,675
County,2019/01/01,24,MD,24045,Wicomico County,24327,79282,319257,77296,88954,45029,44897,35853,20139,4731,1791,275,292
County,2019/01/01,24,MD,24047,Worcester County,11019,41257,161448,44402,44259,17871,23843,17515,8566,2722,1814,231,225
County,2019/01/01,24,MD,24510,Baltimore city,191486,402004,1562472,539800,377326,192065,226871,148270,49273,15002,9568,1549,2748
